"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"140","Washington, DC","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",613,435,863
"140","Washington, DC","3","4800 Canal Road Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1448,1182,1773
"140","Washington, DC","5","4500 Q Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1172,901,1522
"140","Washington, DC","6","Ridge Road Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1694,1368,2097
"140","Washington, DC","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",516,328,810
"140","Washington, DC","8","0 H Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",722,506,1029
"140","Washington, DC","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1486,1135,1945
"140","Washington, DC","10","1500 30th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1044,770,1414
"140","Washington, DC","19","Thomas Avenue, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",770,557,1063
"140","Washington, DC","20","McClellan Drive, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",635,435,925
"140","Washington, DC","21","3600 North Vernon Street, Old Glebe, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",1068,832,1369
"140","Washington, DC","23","6500 Bellamine Court, McLean","1/1/2020 - 3/31/2020, Every day, Daily Average",1244,987,1567
"140","Washington, DC","24","8600 Brook Road, McLean","1/1/2020 - 3/31/2020, Every day, Daily Average",1598,1316,1939
"140","Washington, DC","26","9400 Pamlico Lane, Great Falls","1/1/2020 - 3/31/2020, Every day, Daily Average",1484,1184,1859
"140","Washington, DC","28","2100 North Scott Street, North Highland, Arlington","1/1/2020 - 3/31/2020, Every day, Daily Average",856,650,1126
"140","Washington, DC","29","700 Carpenter Road, Potomac Yard, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",926,713,1201
"140","Washington, DC","30","0 Auburn Court, Potomac West, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",974,760,1247
"140","Washington, DC","31","1000 C Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",296,184,474
"140","Washington, DC","32","2600 13th Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1435,1129,1822
"140","Washington, DC","33","4400 E Street Southeast, Benning Ridge, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",758,570,1006
"140","Washington, DC","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",231,136,389
"140","Washington, DC","35","2100 1st Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1108,839,1462
"140","Washington, DC","36","500 17th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",474,324,692
"140","Washington, DC","37","3500 Toledo Terrace, Chillum","1/1/2020 - 3/31/2020, Every day, Daily Average",1712,1318,2223
"140","Washington, DC","38","5300 Westport Road, Chevy Chase","1/1/2020 - 3/31/2020, Every day, Daily Average",1921,1626,2268
"140","Washington, DC","39","Woodrow Wilson Memorial Bridge, Old Town, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",944,737,1208
"140","Washington, DC","40","6000 Rixey Drive, Fair Haven, Alexandria","1/1/2020 - 3/31/2020, Every day, Daily Average",1184,935,1498
"140","Washington, DC","41","2000 Rosedale Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",494,322,756
"140","Washington, DC","42","4200 10th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1543,1197,1988
"140","Washington, DC","43","900 Randolph Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1640,1276,2106
"140","Washington, DC","44","1200 New Jersey Avenue Southeast, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",301,177,510
"140","Washington, DC","45","0 L Place Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",791,570,1096
"140","Washington, DC","46","1900 Anacostia Drive, Southeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",501,293,854
"140","Washington, DC","47","0 S Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",999,750,1329
"140","Washington, DC","48","3500 Commodore Joshua Barney Drive Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1100,814,1484
"140","Washington, DC","49","2700 10th Street Northeast, Northeast Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1199,950,1512
"140","Washington, DC","51","1300 Underwood Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1979,1580,2477
"140","Washington, DC","52","200 Quackenbos Street Northwest, Northwest Washington, Washington","1/1/2020 - 3/31/2020, Every day, Daily Average",1628,1256,2109
